config_name,group,dp,replica,t_gen_s,success,timestamp
GR_DP10,GR,10,1,39.256,True,2026-04-01T12:40:15.753628
GR_DP10,GR,10,2,37.523,True,2026-04-01T12:40:53.329432
GR_DP10,GR,10,3,40.241,True,2026-04-01T12:41:33.608366
GR_DP10,GR,10,4,37.418,True,2026-04-01T12:42:11.072358
GR_DP10,GR,10,5,40.658,True,2026-04-01T12:42:51.773267
GR_DP10,GR,10,6,36.652,True,2026-04-01T12:43:28.450695
GR_DP10,GR,10,7,38.159,True,2026-04-01T12:44:06.638380
GR_DP10,GR,10,8,39.013,True,2026-04-01T12:44:45.682663
GR_DP10,GR,10,9,34.601,True,2026-04-01T12:45:20.325419
GR_DP10,GR,10,10,35.724,True,2026-04-01T12:45:56.073788
GR_DP10,GR,10,11,34.869,True,2026-04-01T12:46:30.983888
GR_DP10,GR,10,12,34.864,True,2026-04-01T12:47:05.890496
GR_DP10,GR,10,13,35.551,True,2026-04-01T12:47:41.483015
GR_DP10,GR,10,14,38.679,True,2026-04-01T12:48:20.203038
GR_DP10,GR,10,15,35.584,True,2026-04-01T12:48:55.809183
GR_DP10,GR,10,16,34.751,True,2026-04-01T12:49:30.598600
GR_DP10,GR,10,17,37.404,True,2026-04-01T12:50:08.042845
GR_DP10,GR,10,18,35.781,True,2026-04-01T12:50:43.865469
GR_DP10,GR,10,19,33.948,True,2026-04-01T12:51:17.855373
GR_DP10,GR,10,20,38.846,True,2026-04-01T12:51:56.743415
GR_DP10,GR,10,21,38.33,True,2026-04-01T12:52:35.115433
GR_DP10,GR,10,22,38.696,True,2026-04-01T12:53:13.837358
GR_DP10,GR,10,23,33.374,True,2026-04-01T12:53:47.244114
GR_DP10,GR,10,24,35.132,True,2026-04-01T12:54:22.409639
GR_DP10,GR,10,25,37.241,True,2026-04-01T12:54:59.691883
GR_DP10,GR,10,26,35.085,True,2026-04-01T12:55:34.819009
GR_DP10,GR,10,27,35.151,True,2026-04-01T12:56:10.011488
GR_DP10,GR,10,28,37.805,True,2026-04-01T12:56:47.857555
GR_DP10,GR,10,29,37.178,True,2026-04-01T12:57:25.065552
GR_DP10,GR,10,30,43.317,True,2026-04-01T12:58:08.424588
GR_DP5,GR,5,1,5.67,True,2026-04-01T12:58:14.141632
GR_DP5,GR,5,2,5.238,True,2026-04-01T12:58:19.385186
GR_DP5,GR,5,3,5.322,True,2026-04-01T12:58:24.717041
GR_DP5,GR,5,4,5.244,True,2026-04-01T12:58:29.966266
GR_DP5,GR,5,5,4.903,True,2026-04-01T12:58:34.874413
GR_DP5,GR,5,6,5.138,True,2026-04-01T12:58:40.022225
GR_DP5,GR,5,7,4.83,True,2026-04-01T12:58:44.857848
GR_DP5,GR,5,8,5.251,True,2026-04-01T12:58:50.118852
GR_DP5,GR,5,9,4.625,True,2026-04-01T12:58:54.749326
GR_DP5,GR,5,10,4.691,True,2026-04-01T12:58:59.445526
GR_DP5,GR,5,11,4.852,True,2026-04-01T12:59:04.303213
GR_DP5,GR,5,12,4.762,True,2026-04-01T12:59:09.075085
GR_DP5,GR,5,13,5.224,True,2026-04-01T12:59:14.304354
GR_DP5,GR,5,14,4.993,True,2026-04-01T12:59:19.303626
GR_DP5,GR,5,15,4.616,True,2026-04-01T12:59:23.925555
GR_DP5,GR,5,16,4.731,True,2026-04-01T12:59:28.664068
GR_DP5,GR,5,17,4.827,True,2026-04-01T12:59:33.495969
