config,fbo4_source,fBO4,sg_ratio,dp,replica,t_gen,success,error,timestamp
GR_fBO4_sg0,GR,0.77,0.0,10,17,78.4483,True,,2026-04-01T15:42:26.908977
GR_fBO4_sg0,GR,0.77,0.0,10,6,79.8713,True,,2026-04-01T15:42:28.204855
GR_fBO4_sg0,GR,0.77,0.0,10,15,89.524,True,,2026-04-01T15:42:37.869241
GR_fBO4_sg15,GR,0.77,1.5,10,29,106.7348,True,,2026-04-01T15:42:55.112208
HW_fBO4_sg08,HW,0.69,0.8,10,25,109.0588,True,,2026-04-01T15:42:57.382042
HW_fBO4_sg0,HW,0.69,0.0,10,21,167.6244,True,,2026-04-01T15:43:56.007047
SW_fBO4_sg08,SW,0.54,0.8,10,17,89.4096,True,,2026-04-01T15:43:56.778215
SW_fBO4_sg15,SW,0.54,1.5,10,25,174.7873,True,,2026-04-01T15:44:03.103815
SW_fBO4_sg15,SW,0.54,1.5,10,17,86.0097,True,,2026-04-01T15:44:03.910302
SW_fBO4_sg0,SW,0.54,0.0,10,23,97.6907,True,,2026-04-01T15:44:35.144260
SW_fBO4_sg08,SW,0.54,0.8,10,12,120.6803,True,,2026-04-01T15:44:55.878450
SW_fBO4_sg0,SW,0.54,0.0,10,27,71.1443,True,,2026-04-01T15:45:07.394184
SW_fBO4_sg08,SW,0.54,0.8,10,18,119.2278,True,,2026-04-01T15:45:56.285630
SW_fBO4_sg08,SW,0.54,0.8,10,13,113.9712,True,,2026-04-01T15:45:57.108483
HW_fBO4_sg0,HW,0.69,0.0,10,20,175.517,True,,2026-04-01T15:46:59.853055
HW_fBO4_sg08,HW,0.69,0.8,10,22,354.5014,True,,2026-04-01T15:47:03.108481
SW_fBO4_sg08,SW,0.54,0.8,10,29,127.5484,True,,2026-04-01T15:47:03.456840
HW_fBO4_sg15,HW,0.69,1.5,10,30,300.2164,True,,2026-04-01T15:47:28.476481
SW_fBO4_sg0,SW,0.54,0.0,10,12,67.7245,True,,2026-04-01T15:48:36.251232
HW_fBO4_sg0,HW,0.69,0.0,10,17,174.8024,True,,2026-04-01T15:48:51.956203
SW_fBO4_sg08,SW,0.54,0.8,10,26,120.6755,True,,2026-04-01T15:49:00.590664
GR_fBO4_sg08,GR,0.77,0.8,10,23,184.6246,True,,2026-04-01T15:49:01.215144
GR_fBO4_sg15,GR,0.77,1.5,10,4,118.0915,True,,2026-04-01T15:49:01.570691
HW_fBO4_sg0,HW,0.69,0.0,10,4,2.506,False,"log4j:ERROR Could not parse file [resources/log4j.xml].
java.io.FileNotFoundException: /media/aldo/Aldo/sims/Lignin_DB_Natural_Evol_2/workers/worker_5/resources/log4j.xml (No such file or directory)
	",2026-04-01T15:49:03.729096
GR_fBO4_sg0,GR,0.77,0.0,10,14,62.9184,True,,2026-04-01T15:49:08.343744
GR_fBO4_sg08,GR,0.77,0.8,10,22,140.3553,True,,2026-04-01T15:49:23.530154
SW_fBO4_sg0,SW,0.54,0.0,10,5,99.3395,True,,2026-04-01T15:50:40.002017
GR_fBO4_sg15,GR,0.77,1.5,10,15,134.8838,True,,2026-04-01T15:50:51.291651
SW_fBO4_sg0,SW,0.54,0.0,10,21,102.6238,True,,2026-04-01T15:51:06.173880
SW_fBO4_sg08,SW,0.54,0.8,10,21,121.5922,True,,2026-04-01T15:51:09.972134
HW_fBO4_sg08,HW,0.69,0.8,10,26,402.098,True,,2026-04-01T15:51:17.675596
HW_fBO4_sg0,HW,0.69,0.0,10,7,186.702,True,,2026-04-01T15:51:59.093283
SW_fBO4_sg15,SW,0.54,1.5,10,8,100.9105,True,,2026-04-01T15:52:50.958833
HW_fBO4_sg0,HW,0.69,0.0,10,23,165.0535,True,,2026-04-01T15:53:31.219072
GR_fBO4_sg08,GR,0.77,0.8,10,29,172.4988,True,,2026-04-01T15:53:43.902758
SW_fBO4_sg15,SW,0.54,1.5,10,23,2.6568,False,"log4j:ERROR Could not parse file [resources/log4j.xml].
java.io.FileNotFoundException: /media/aldo/Aldo/sims/Lignin_DB_Natural_Evol_2/workers/worker_4/resources/log4j.xml (No such file or directory)
	",2026-04-01T15:53:44.555239
HW_fBO4_sg0,HW,0.69,0.0,10,10,183.4694,True,,2026-04-01T15:54:21.303204
GR_fBO4_sg08,GR,0.77,0.8,10,10,149.4645,True,,2026-04-01T15:54:28.750679
GR_fBO4_sg0,GR,0.77,0.0,10,29,58.6549,True,,2026-04-01T15:54:43.259216
GR_fBO4_sg0,GR,0.77,0.0,10,30,64.0962,True,,2026-04-01T15:54:48.030833
GR_fBO4_sg15,GR,0.77,1.5,10,5,118.6793,True,,2026-04-01T15:54:49.821609
GR_fBO4_sg0,GR,0.77,0.0,10,3,64.1091,True,,2026-04-01T15:55:47.462413
SW_fBO4_sg15,SW,0.54,1.5,10,18,132.1809,True,,2026-04-01T15:56:33.895593
SW_fBO4_sg15,SW,0.54,1.5,10,20,139.9427,True,,2026-04-01T15:56:48.714272
SW_fBO4_sg0,SW,0.54,0.0,10,14,126.9286,True,,2026-04-01T15:56:55.001805
GR_fBO4_sg0,GR,0.77,0.0,10,20,75.9299,True,,2026-04-01T15:57:03.440218
GR_fBO4_sg15,GR,0.77,1.5,10,25,386.2666,True,,2026-04-01T15:57:32.570382
HW_fBO4_sg08,HW,0.69,0.8,10,13,402.3471,True,,2026-04-01T15:57:48.785755
SW_fBO4_sg0,SW,0.54,0.0,10,13,99.1617,True,,2026-04-01T15:58:27.907261
SW_fBO4_sg08,SW,0.54,0.8,10,25,127.6645,True,,2026-04-01T15:59:02.918289
HW_fBO4_sg08,HW,0.69,0.8,10,6,386.9341,True,,2026-04-01T15:59:58.428769
SW_fBO4_sg0,SW,0.54,0.0,10,24,101.3116,True,,2026-04-01T16:00:09.464160
HW_fBO4_sg0,HW,0.69,0.0,10,5,196.4642,True,,2026-04-01T16:00:20.159240
HW_fBO4_sg15,HW,0.69,1.5,10,8,340.6502,True,,2026-04-01T16:00:30.514047
SW_fBO4_sg15,SW,0.54,1.5,10,15,110.8562,True,,2026-04-01T16:00:53.880261
HW_fBO4_sg15,HW,0.69,1.5,10,12,286.1255,True,,2026-04-01T16:01:20.286355
GR_fBO4_sg0,GR,0.77,0.0,10,23,61.722,True,,2026-04-01T16:01:21.912657
SW_fBO4_sg08,SW,0.54,0.8,10,6,131.3276,True,,2026-04-01T16:02:10.081788
SW_fBO4_sg15,SW,0.54,1.5,10,27,102.9125,True,,2026-04-01T16:02:14.441816
HW_fBO4_sg15,HW,0.69,1.5,10,1,304.7585,True,,2026-04-01T16:02:53.580661
SW_fBO4_sg08,SW,0.54,0.8,10,11,116.8028,True,,2026-04-01T16:03:17.134291
HW_fBO4_sg0,HW,0.69,0.0,10,19,218.725,True,,2026-04-01T16:04:32.733514
HW_fBO4_sg0,HW,0.69,0.0,10,16,199.8245,True,,2026-04-01T16:04:41.891069
SW_fBO4_sg15,SW,0.54,1.5,10,11,111.2749,True,,2026-04-01T16:05:08.470042
HW_fBO4_sg0,HW,0.69,0.0,10,26,207.1395,True,,2026-04-01T16:05:41.682726
GR_fBO4_sg0,GR,0.77,0.0,10,9,74.1201,True,,2026-04-01T16:06:22.803718
HW_fBO4_sg0,HW,0.69,0.0,10,6,231.416,True,,2026-04-01T16:06:45.113290
HW_fBO4_sg08,HW,0.69,0.8,10,8,431.0111,True,,2026-04-01T16:07:20.907030
SW_fBO4_sg0,SW,0.54,0.0,10,17,114.2331,True,,2026-04-01T16:07:35.942536
HW_fBO4_sg0,HW,0.69,0.0,10,30,213.4236,True,,2026-04-01T16:08:15.746808
HW_fBO4_sg15,HW,0.69,1.5,10,21,367.8161,True,,2026-04-01T16:08:18.874323
SW_fBO4_sg0,SW,0.54,0.0,10,3,127.3262,True,,2026-04-01T16:08:30.173847
SW_fBO4_sg0,SW,0.54,0.0,10,6,132.3504,True,,2026-04-01T16:09:33.372167
