config,group,fBO4,sg_ratio,dp,replica,t_gen,success,error,timestamp
GR_fBO4_sg08,GR,0.77,0.8,10,30,26.1586,True,,2026-07-03T17:56:12.525135
HW_fBO4_sg15,HW,0.69,1.5,10,9,900,False,timeout after 900s,2026-07-03T19:57:34.981012
SW_fBO4_sg0,SW,0.54,0.0,10,13,17.2147,True,,2026-07-03T19:57:52.216951
GR_fBO4_sg08,GR,0.77,0.8,10,27,30.4612,True,,2026-07-03T19:58:22.728480
SW_fBO4_sg08,SW,0.54,0.8,10,29,20.7138,True,,2026-07-03T19:58:43.460256
SW_fBO4_sg15,SW,0.54,1.5,10,12,19.416,True,,2026-07-03T19:59:02.888879
SW_fBO4_sg0,SW,0.54,0.0,10,17,16.5094,True,,2026-07-03T19:59:19.404152
HW_fBO4_sg15,HW,0.69,1.5,10,24,64.979,True,,2026-07-03T20:00:24.443772
SW_fBO4_sg08,SW,0.54,0.8,10,4,19.3285,True,,2026-07-03T20:00:43.789927
SW_fBO4_sg15,SW,0.54,1.5,10,8,17.6307,True,,2026-07-03T20:01:01.435436
SW_fBO4_sg15,SW,0.54,1.5,10,20,28.0529,True,,2026-07-03T20:01:29.498014
SW_fBO4_sg08,SW,0.54,0.8,10,6,21.1688,True,,2026-07-03T20:01:50.682724
GR_fBO4_sg15,GR,0.77,1.5,10,9,25.1445,True,,2026-07-03T20:02:15.853722
SW_fBO4_sg15,SW,0.54,1.5,10,24,16.623,True,,2026-07-03T20:02:32.489790
HW_fBO4_sg08,HW,0.69,0.8,10,2,72.1232,True,,2026-07-03T20:03:44.673255
GR_fBO4_sg0,GR,0.77,0.0,10,13,10.5886,True,,2026-07-03T20:03:55.278830
GR_fBO4_sg15,GR,0.77,1.5,10,17,23.6801,True,,2026-07-03T20:04:18.994767
GR_fBO4_sg08,GR,0.77,0.8,10,9,29.0218,True,,2026-07-03T20:04:48.036852
GR_fBO4_sg15,GR,0.77,1.5,10,15,32.9078,True,,2026-07-03T20:05:20.962458
GR_fBO4_sg15,GR,0.77,1.5,10,14,21.7943,True,,2026-07-03T20:05:42.771874
HW_fBO4_sg0,HW,0.69,0.0,10,16,32.5527,True,,2026-07-03T20:06:15.353080
GR_fBO4_sg15,GR,0.77,1.5,10,29,25.5298,True,,2026-07-03T20:06:40.902609
HW_fBO4_sg0,HW,0.69,0.0,10,15,36.275,True,,2026-07-03T20:07:17.204080
HW_fBO4_sg08,HW,0.69,0.8,10,14,63.1685,True,,2026-07-03T20:08:20.442730
SW_fBO4_sg0,SW,0.54,0.0,10,21,14.0515,True,,2026-07-03T20:08:34.499745
GR_fBO4_sg0,GR,0.77,0.0,10,1,13.1644,True,,2026-07-03T20:08:47.676207
HW_fBO4_sg0,HW,0.69,0.0,10,27,31.6502,True,,2026-07-03T20:09:19.354875
SW_fBO4_sg08,SW,0.54,0.8,10,24,21.1836,True,,2026-07-03T20:09:40.556557
SW_fBO4_sg0,SW,0.54,0.0,10,25,16.298,True,,2026-07-03T20:09:56.863536
GR_fBO4_sg08,GR,0.77,0.8,10,14,28.1797,True,,2026-07-03T20:10:25.068198
SW_fBO4_sg15,SW,0.54,1.5,10,7,19.4717,True,,2026-07-03T20:10:44.552597
HW_fBO4_sg08,HW,0.69,0.8,10,25,65.9978,True,,2026-07-03T20:11:50.617380
GR_fBO4_sg15,GR,0.77,1.5,10,12,25.1167,True,,2026-07-03T20:12:15.755423
HW_fBO4_sg08,HW,0.69,0.8,10,16,69.8832,True,,2026-07-03T20:13:25.700202
GR_fBO4_sg0,GR,0.77,0.0,10,6,13.4034,True,,2026-07-03T20:13:39.111083
HW_fBO4_sg15,HW,0.69,1.5,10,30,51.2202,True,,2026-07-03T20:14:30.378048
